Song,Performer,track_id,cluster_grouping,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Goodies,Ciara Featuring Petey Pablo,3dFwpxh2yH7C7p9BGEKLVB,30,0.826,0.647,5.0,-6.306,0.0,0.0491,0.0277,1.52e-06,0.298,0.872,102.01700000000001,4.0
Dark Horse,Katy Perry Featuring Juicy J,5jrdCoLpJSvHHorevXBATy,31,0.645,0.585,6.0,-6.122000000000001,1.0,0.0513,0.00314,0.0,0.165,0.353,131.931,4.0
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,5BVMLKioofuSf51g1DKDP9,190,0.878,0.9470000000000001,8.0,-3.054,0.0,0.0642,0.0631,1.42e-05,0.142,0.8109999999999999,110.04700000000001,4.0
Happy,Pharrell Williams,5b88tNINg4Q4nrRbrCXUmg,33,0.647,0.8220000000000001,5.0,-4.662,0.0,0.183,0.21899999999999997,0.0,0.0908,0.9620000000000001,160.019,4.0
The Saints Are Coming,U2 & Green Day,6uQL0epVs9N9Bergafaf6x,34,0.302,0.799,4.0,-6.971,0.0,0.0464,0.076,0.000729,0.159,0.141,152.1,4.0
Truck Yeah,Tim McGraw,3crxySebCike4UZq4SvzxT,202,0.599,0.922,7.0,-3.335,1.0,0.0348,0.0914,0.0,0.0709,0.747,97.948,4.0
Bust Your Windows,Jazmine Sullivan,56z2qI0gKcPthQF6l8AW3E,36,0.6829999999999999,0.664,5.0,-4.2330000000000005,0.0,0.0332,0.5379999999999999,0.0,0.0671,0.866,106.991,4.0
Faded,Tyga Featuring Lil Wayne,2NRUU0gP1d8Yif8CpsCW8l,37,0.8320000000000001,0.647,1.0,-8.484,1.0,0.20800000000000002,0.00997,0.0,0.355,0.281,95.109,4.0
Sleeping With A Friend,Neon Trees,0K1KOCeJBj3lpDYxEX9qP2,38,0.5820000000000001,0.882,2.0,-4.256,1.0,0.0355,0.0018899999999999998,1.0300000000000001e-05,0.32,0.507,107.03399999999999,4.0
Rack City,Tyga,0srwKuJPH8yBzzFUJMBQM2,2,0.927,0.32799999999999996,1.0,-10.969000000000001,1.0,0.374,0.0471,1.5399999999999998e-05,0.12,0.22,98.95,4.0
Dear Future Husband,Meghan Trainor,3cU2wBxuV6nFiuf6PJZNlC,144,0.655,0.782,1.0,-4.789,1.0,0.185,0.375,0.0,0.317,0.8320000000000001,79.42699999999999,4.0
Tilt Ya Head Back,Nelly & Christina Aguilera,2VJg6kEJXgeBNm0xnl7xYk,41,0.8340000000000001,0.7140000000000001,10.0,-5.742999999999999,0.0,0.182,0.040999999999999995,0.0,0.27899999999999997,0.728,115.743,4.0
American Child,Phil Vassar,3BcGTyGnofcaQlxEaHyuPD,230,0.397,0.685,2.0,-5.815,1.0,0.0277,0.252,0.0,0.157,0.44299999999999995,168.12099999999998,3.0
Too Little Too Late,JoJo,7oUMJhQp5Bqu6HqxSZs02v,175,0.446,0.77,6.0,-6.121,0.0,0.0549,0.0183,1.07e-06,0.122,0.7170000000000001,82.765,4.0
Go Girl,Pitbull Featuring Trina & Young Bo$$,1MgM0WDaoQ2A3bnIQTR6ty,44,0.986,0.597,8.0,-6.809,1.0,0.308,0.145,2.18e-06,0.19699999999999998,0.7609999999999999,115.00399999999999,4.0
Hands Clean,Alanis Morissette,2LVxvGhl2U5p2ql2ujc6vZ,45,0.513,0.82,7.0,-5.428,1.0,0.0299,0.0019199999999999998,2.83e-06,0.504,0.52,99.95200000000001,4.0
Got To Get It,Sisqo Featuring Make It Hot,5z17Oquw4RhTv8VaqOvDt0,46,0.77,0.79,10.0,-6.582999999999999,0.0,0.0711,0.128,0.0,0.0658,0.752,101.896,4.0
"Hey, Soul Sister",Train,4HlFJV71xXKIGcU3kRyttv,82,0.6729999999999999,0.8859999999999999,1.0,-4.44,0.0,0.0431,0.185,0.0,0.0826,0.795,97.012,4.0
Hollywood's Not America,Ferras,5wizvr1JlRR3XWmKkOmEtV,48,0.478,0.617,5.0,-6.162000000000001,1.0,0.0343,0.244,0.0,0.131,0.598,156.058,4.0
Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,47,0.706,0.89,1.0,-4.444,0.0,0.0688,0.0588,0.00286,0.306,0.684,128.011,4.0
Better Dig Two,The Band Perry,3z0a8G407NbxfjTRffvQiP,50,0.64,0.669,7.0,-5.17,1.0,0.0519,0.413,0.0,0.0779,0.6459999999999999,155.844,4.0
The Memory Remains,Metallica,0vhOJ8a3M2LWnBNrDXJKDl,51,0.43200000000000005,0.904,10.0,-3.697,0.0,0.0432,0.000321,0.00982,0.20600000000000002,0.6,144.401,4.0
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,52,0.748,0.7879999999999999,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.07600000000001,4.0
